rpt_low_energy,rpt_med_energy,regu_energy,rpt_low_cap,rpt_med_cap,regu_cap,seq_num,diag_pos,cycle_index
0.626379497,0.559218065,0.180398555,0.164347953,0.147874148,0.050206098,299,11,1054
,,0.885974937,,,0.237475127,261,hppc_1,8
0.987719051,0.952904482,0.891732509,0.262614262,0.253221806,0.238988033,261,0,0
0.97842416,0.951743965,0.883516605,0.259715813,0.252843978,0.236948666,261,1,24
0.949060233,0.92472066,0.859413468,0.251575923,0.245713468,0.230806633,261,2,127
0.923931911,0.896567175,0.832430485,0.245010976,0.238345461,0.223916113,261,3,230
0.900313549,0.867231269,0.796246979,0.238921395,0.230759778,0.214608311,261,4,333
0.876680135,0.840766343,0.765686559,0.232821922,0.223887648,0.206798384,261,5,436
0.86018492,0.823848412,0.744173755,0.228469706,0.219479612,0.201473278,261,6,539
0.838641439,0.800598585,0.717980537,0.222748891,0.213389473,0.194810767,261,7,642
0.809390997,0.772016838,0.675709561,0.214874829,0.205862956,0.183962056,261,8,745
0.737125934,0.700595697,0.581003689,0.195129644,0.186735101,0.159047383,261,9,848
,,0.914893744,,,0.244855142,112,hppc_1,8
0.99054149,0.966180446,0.913657859,0.262980889,0.256689513,0.244619095,112,0,0
0.979664532,0.961346733,0.912308796,0.259836154,0.255347338,0.244243626,112,1,24
0.953406552,0.938459235,0.895323957,0.252559455,0.249084877,0.239874425,112,2,127
0.941322817,0.926589095,0.884277947,0.249277178,0.245907629,0.237075651,112,3,230
0.925314133,0.910474495,0.864292996,0.244948927,0.241606128,0.231943486,112,4,333
0.907973745,0.892075521,0.834739733,0.240313734,0.236731157,0.224117086,112,5,436
0.894147165,0.876733866,0.730937544,0.236755056,0.233016574,0.196890096,112,6,539
0.861488026,0.818704628,0.616532735,0.228195544,0.218087155,0.167028765,112,7,642
0.812741172,0.735164265,0.491496005,0.215173372,0.196075437,0.134112173,112,8,745
0.712537415,0.434764606,0.241077221,0.187846933,0.111530835,0.066808605,112,9,848
,,0.90393266,,,0.242538865,301,hppc_1,8
0.942865787,0.935450871,0.903671694,0.249618017,0.248260085,0.242424282,301,0,0
0.935058102,0.927755473,0.899205236,0.247444141,0.246138133,0.241259359,301,1,24
0.92264016,0.915904709,0.888579003,0.244063384,0.242913167,0.238539556,301,2,127
0.913493958,0.907063123,0.879965105,0.241590341,0.240550248,0.236376216,301,3,230
0.90668464,0.900229246,0.87120673,0.239770798,0.238767043,0.2342114,301,4,333
0.900547592,0.893748075,0.861866346,0.238144807,0.237093989,0.231894039,301,5,436
0.893669239,0.885407983,0.844732076,0.236322489,0.234933727,0.227425364,301,6,539
0.879218523,0.869521974,0.811473059,0.23243997,0.230625911,0.21856049,301,7,642
0.865915533,0.854435093,0.771932199,0.228892811,0.226689681,0.208166778,301,8,745
0.843049514,0.82886383,0.736812654,0.222990407,0.220202896,0.19951142,301,9,848
0.829652844,0.814765976,0.712548358,0.219446834,0.216596683,0.193319838,301,10,951
0.803662656,0.788426423,0.673373452,0.212342064,0.209597959,0.182987619,301,11,1054
0.720106259,0.6916825,0.436562498,0.189516267,0.183330736,0.119273578,301,12,1157
,,0.904535411,,,0.242200287,162,hppc_1,8
0.974889817,0.956667783,0.903690121,0.258932207,0.254146217,0.242004279,162,0,0
0.965296734,0.954723184,0.901228265,0.256182148,0.253627595,0.241391339,162,1,24
0.939088442,0.934656934,0.889915062,0.24890601,0.248234564,0.23867753,162,2,127
0.925506858,0.921815124,0.878838923,0.245203562,0.244784991,0.235899235,162,3,230
0.911820641,0.908492849,0.86730675,0.241499349,0.241234251,0.233055948,162,4,333
0.895755735,0.889551538,0.839350863,0.237159467,0.236159673,0.225656011,162,5,436
0.883294908,0.874894888,0.783557281,0.233948011,0.232434466,0.211030558,162,6,539
0.860762081,0.836038075,0.658834048,0.228115154,0.222869499,0.178283454,162,7,642
0.813952209,0.760631821,0.575264865,0.215542799,0.202764219,0.156455036,162,8,745
0.728917546,0.618176152,0.310175879,0.192335306,0.164266781,0.085419246,162,9,848
,,0.913191206,,,0.244380148,302,hppc_1,8
0.957861933,0.947569765,0.913538737,0.25356409,0.251381137,0.244452095,302,0,0
0.949357966,0.939467171,0.908947263,0.251188586,0.249141148,0.243226205,302,1,24
0.936147785,0.927047338,0.90067174,0.247575997,0.245736088,0.241107356,302,2,127
